2023-09-24 14:25:15 - INFO - 172.22.158.185@2023-09-24 142515:1 is joining group
2023-09-24 14:26:06 - INFO - Machine 172.22.158.185@2023-09-24 142515:1 disseminating membership list: {'172.22.158.185@2023-09-24 142515:1': {'heartbeat_counter': 27, 'timestamp': 1695583566, 'suspicion': False, 'suspect': False}}
2023-09-24 14:26:08 - INFO - Machine 172.22.158.185@2023-09-24 142515:1 disseminating membership list: {'172.22.158.185@2023-09-24 142515:1': {'heartbeat_counter': 28, 'timestamp': 1695583568, 'suspicion': False, 'suspect': False}}
2023-09-24 14:26:10 - INFO - Machine 172.22.158.185@2023-09-24 142515:1 disseminating membership list: {'172.22.158.185@2023-09-24 142515:1': {'heartbeat_counter': 29, 'timestamp': 1695583570, 'suspicion': False, 'suspect': False}}
2023-09-24 14:26:12 - INFO - Machine 172.22.158.185@2023-09-24 142515:1 disseminating membership list: {'172.22.158.185@2023-09-24 142515:1': {'heartbeat_counter': 30, 'timestamp': 1695583572, 'suspicion': False, 'suspect': False}}
2023-09-24 14:26:14 - INFO - Machine 172.22.158.185@2023-09-24 142515:1 disseminating membership list: {'172.22.158.185@2023-09-24 142515:1': {'heartbeat_counter': 31, 'timestamp': 1695583574, 'suspicion': False, 'suspect': False}}
2023-09-24 14:26:16 - INFO - Machine 172.22.158.185@2023-09-24 142515:1 disseminating membership list: {'172.22.158.185@2023-09-24 142515:1': {'heartbeat_counter': 32, 'timestamp': 1695583576, 'suspicion': False, 'suspect': False}}
2023-09-24 14:26:18 - INFO - Machine 172.22.158.185@2023-09-24 142515:1 disseminating membership list: {'172.22.158.185@2023-09-24 142515:1': {'heartbeat_counter': 33, 'timestamp': 1695583578, 'suspicion': False, 'suspect': False}}
2023-09-24 14:26:20 - INFO - Machine 172.22.158.185@2023-09-24 142515:1 disseminating membership list: {'172.22.158.185@2023-09-24 142515:1': {'heartbeat_counter': 34, 'timestamp': 1695583580, 'suspicion': False, 'suspect': False}}
2023-09-24 14:26:22 - INFO - Machine 172.22.158.185@2023-09-24 142515:1 disseminating membership list: {'172.22.158.185@2023-09-24 142515:1': {'heartbeat_counter': 35, 'timestamp': 1695583582, 'suspicion': False, 'suspect': False}}
2023-09-24 14:26:24 - INFO - Machine 172.22.158.185@2023-09-24 142515:1 disseminating membership list: {'172.22.158.185@2023-09-24 142515:1': {'heartbeat_counter': 36, 'timestamp': 1695583584, 'suspicion': False, 'suspect': False}}
